,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category,years_of_experience
23,2024,MI,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Data Science,2
24,2024,MI,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Science,3
25,2024,SE,FT,Machine Learning Engineer,500000,USD,500000,US,0,US,M,Machine Learning,9
26,2024,SE,FT,Machine Learning Engineer,100000,USD,100000,US,0,US,M,Machine Learning,6
27,2024,SE,FT,Data Architect,175000,USD,175000,US,0,US,M,Data Architecture,5
28,2024,SE,FT,Data Architect,117000,USD,117000,US,0,US,M,Data Architecture,7
29,2024,MI,FT,Data Engineer,137930,USD,137930,CA,0,CA,M,Data Engineering,2
30,2024,MI,FT,Data Engineer,74270,USD,74270,CA,0,CA,M,Data Engineering,3
31,2024,SE,FT,Data Scientist,188500,USD,188500,US,0,US,M,Data Science,7
32,2024,SE,FT,Data Scientist,165100,USD,165100,US,0,US,M,Data Science,6
33,2024,SE,FT,Data Scientist,199500,USD,199500,US,100,US,M,Data Science,7
34,2024,SE,FT,Data Scientist,86700,USD,86700,US,100,US,M,Data Science,6
35,2024,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,Data Engineering,7
36,2024,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Data Engineering,9
37,2024,SE,FT,Data Analyst,108334,USD,108334,US,0,US,M,Other,9
38,2024,SE,FT,Data Analyst,59923,USD,59923,US,0,US,M,Other,9
39,2024,SE,FT,Business Intelligence Analyst,109000,USD,109000,US,0,US,M,Other,5
40,2024,SE,FT,Business Intelligence Analyst,62300,USD,62300,US,0,US,M,Other,6
41,2024,SE,FT,Data Architect,184000,USD,184000,US,0,US,M,Data Architecture,5
42,2024,SE,FT,Data Architect,123000,USD,123000,US,0,US,M,Data Architecture,5
43,2024,EN,FT,Data Analyst,143000,USD,143000,CA,0,CA,M,Other,1
44,2024,EN,FT,Data Analyst,82900,USD,82900,CA,0,CA,M,Other,1
45,2024,SE,FT,Research Engineer,440000,USD,440000,US,0,US,M,Other,8
46,2024,SE,FT,Research Engineer,360000,USD,360000,US,0,US,M,Other,7
47,2024,MI,FT,Data Engineer,218500,USD,218500,US,100,US,M,Data Engineering,2
48,2024,MI,FT,Data Engineer,210662,USD,210662,US,100,US,M,Data Engineering,3
49,2024,SE,FT,Data Analyst,56280,USD,56280,US,0,US,M,Other,9
50,2024,SE,FT,Data Analyst,41820,USD,41820,US,0,US,M,Other,7
51,2024,MI,FT,Research Scientist,145000,USD,145000,US,0,US,M,Data Science,3
52,2024,MI,FT,Research Scientist,103000,USD,103000,US,0,US,M,Data Science,2
53,2024,SE,FT,Data Engineer,196900,USD,196900,US,100,US,M,Data Engineering,9
54,2024,SE,FT,Data Engineer,174271,USD,174271,US,100,US,M,Data Engineering,8
55,2024,SE,FT,Data Engineer,153000,USD,153000,US,0,US,M,Data Engineering,6
56,2024,SE,FT,Data Engineer,102000,USD,102000,US,0,US,M,Data Engineering,7
57,2024,EX,FT,Data Engineer,320000,USD,320000,US,100,US,M,Data Engineering,12
58,2024,EX,FT,Data Engineer,215000,USD,215000,US,100,US,M,Data Engineering,10
59,2024,MI,FT,Research Analyst,160000,USD,160000,US,0,US,M,Other,3
60,2024,MI,FT,Research Analyst,100000,USD,100000,US,0,US,M,Other,3
61,2024,SE,FT,Data Engineer,154400,USD,154400,US,100,US,M,Data Engineering,8
62,2024,SE,FT,Data Engineer,123520,USD,123520,US,100,US,M,Data Engineering,5
63,2024,SE,FT,Data Engineer,341000,USD,341000,US,100,US,M,Data Engineering,5
64,2024,SE,FT,Data Engineer,228800,USD,228800,US,100,US,M,Data Engineering,8
65,2024,SE,FT,Data Scientist,125000,USD,125000,US,100,US,M,Data Science,7
66,2024,SE,FT,Data Scientist,108000,USD,108000,US,100,US,M,Data Science,7
67,2024,MI,FT,Data Analytics Manager,170000,USD,170000,US,100,US,M,Management,3
68,2024,MI,FT,Data Analytics Manager,150000,USD,150000,US,100,US,M,Management,2
69,2024,MI,FT,Data Scientist,218500,USD,218500,US,100,US,M,Data Science,2
70,2024,MI,FT,Data Scientist,190000,USD,190000,US,100,US,M,Data Science,2
71,2024,SE,FT,Machine Learning Engineer,243300,USD,243300,US,0,US,M,Machine Learning,9
72,2024,SE,FT,Machine Learning Engineer,131500,USD,131500,US,0,US,M,Machine Learning,5
73,2024,SE,FT,Data Scientist,244000,USD,244000,US,100,US,M,Data Science,6
74,2024,SE,FT,Data Scientist,160000,USD,160000,US,100,US,M,Data Science,9
75,2024,MI,FT,Data Engineer,243300,USD,243300,US,0,US,M,Data Engineering,2
76,2024,MI,FT,Data Engineer,131500,USD,131500,US,0,US,M,Data Engineering,2
77,2024,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Science,7
78,2024,SE,FT,Data Scientist,216705,USD,216705,US,0,US,M,Data Science,5
79,2024,SE,FT,Research Scientist,251000,USD,251000,US,0,US,M,Data Science,8
80,2024,SE,FT,Research Scientist,177000,USD,177000,US,0,US,M,Data Science,9
81,2024,SE,FT,Research Scientist,239000,USD,239000,US,0,US,M,Data Science,8
82,2024,SE,FT,Research Scientist,161000,USD,161000,US,0,US,M,Data Science,7
83,2024,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,Data Engineering,5
84,2024,SE,FT,Data Engineer,125000,USD,125000,US,0,US,M,Data Engineering,5
85,2024,SE,FT,Data Scientist,252000,USD,252000,US,0,US,M,Data Science,6
86,2024,SE,FT,Data Scientist,168000,USD,168000,US,0,US,M,Data Science,7
87,2024,EX,FT,Data Engineer,219650,USD,219650,US,100,US,M,Data Engineering,11
88,2024,EX,FT,Data Engineer,136000,USD,136000,US,100,US,M,Data Engineering,13
89,2024,SE,FT,Machine Learning Engineer,300200,USD,300200,US,0,US,M,Machine Learning,9
90,2024,SE,FT,Machine Learning Engineer,199800,USD,199800,US,0,US,M,Machine Learning,6
91,2024,MI,FT,Data Scientist,110000,USD,110000,US,0,US,M,Data Science,3
92,2024,MI,FT,Data Scientist,110000,USD,110000,US,0,US,M,Data Science,2
93,2024,MI,FT,Data Product Manager,160455,USD,160455,US,0,US,M,Management,3
94,2024,MI,FT,Data Product Manager,91318,USD,91318,US,0,US,M,Management,2
95,2024,SE,FT,Data Scientist,212800,USD,212800,US,0,US,L,Data Science,6
96,2024,SE,FT,Data Scientist,111600,USD,111600,US,0,US,L,Data Science,8
97,2024,SE,FT,Data Scientist,174000,USD,174000,US,100,US,M,Data Science,5
98,2024,SE,FT,Data Scientist,139200,USD,139200,US,100,US,M,Data Science,9
99,2024,MI,FT,Research Engineer,208000,USD,208000,US,0,US,M,Other,3
100,2024,MI,FT,Research Engineer,146994,USD,146994,US,0,US,M,Other,3
101,2024,MI,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M,Machine Learning,3
102,2024,MI,FT,Machine Learning Engineer,140000,USD,140000,US,0,US,M,Machine Learning,2
103,2024,SE,FT,Data Scientist,364100,USD,364100,US,0,US,M,Data Science,8
104,2024,SE,FT,Data Scientist,210900,USD,210900,US,0,US,M,Data Science,5
105,2024,EN,FT,Data Analytics Lead,198400,USD,198400,US,100,US,M,Management,1
106,2024,EN,FT,Data Analytics Lead,132300,USD,132300,US,100,US,M,Management,1
107,2024,SE,FT,Data Analytics Lead,185000,USD,185000,US,0,US,M,Management,5
108,2024,SE,FT,Data Analytics Lead,150000,USD,150000,US,0,US,M,Management,8
109,2024,MI,FT,Analytics Engineer,40000,GBP,50000,GB,0,GB,M,Data Engineering,2
110,2024,MI,FT,Analytics Engineer,35000,GBP,43750,GB,0,GB,M,Data Engineering,3
111,2024,SE,FT,Business Intelligence Engineer,202800,USD,202800,US,0,US,L,Other,5
112,2024,SE,FT,Business Intelligence Engineer,104300,USD,104300,US,0,US,L,Other,6
113,2024,SE,FT,Machine Learning Engineer,145400,USD,145400,US,0,US,M,Machine Learning,8
114,2024,SE,FT,Machine Learning Engineer,145400,USD,145400,US,0,US,M,Machine Learning,9
115,2024,MI,FT,Data Manager,73300,USD,73300,US,0,US,M,Management,3
116,2024,MI,FT,Data Manager,67600,USD,67600,US,0,US,M,Management,3
117,2024,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M,Data Science,3
118,2024,MI,FT,Research Scientist,143000,USD,143000,US,0,US,M,Data Science,2
119,2024,SE,FT,Data Architect,144000,USD,144000,US,0,US,M,Data Architecture,6
120,2024,SE,FT,Data Architect,117000,USD,117000,US,0,US,M,Data Architecture,8
121,2024,MI,FT,Research Scientist,250800,USD,250800,US,0,US,M,Data Science,2
122,2024,MI,FT,Research Scientist,167200,USD,167200,US,0,US,M,Data Science,2
123,2024,MI,FT,Machine Learning Scientist,180000,USD,180000,CA,100,CA,M,Other,3
124,2024,MI,FT,Machine Learning Scientist,117000,USD,117000,CA,100,CA,M,Other,2
125,2024,MI,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineering,3
126,2024,MI,FT,Data Engineer,100000,USD,100000,US,0,US,M,Data Engineering,3
127,2024,MI,FT,Prompt Engineer,500000,USD,500000,US,0,US,M,Artificial_Intelligence,3
128,2024,MI,FT,Prompt Engineer,100000,USD,100000,US,0,US,M,Artificial_Intelligence,2
129,2024,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,Data Science,5
130,2024,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Data Science,5
131,2024,SE,FT,Machine Learning Engineer,300200,USD,300200,US,0,US,M,Machine Learning,6
132,2024,SE,FT,Machine Learning Engineer,170700,USD,170700,US,0,US,M,Machine Learning,6
133,2024,SE,FT,Data Engineer,170000,USD,170000,US,100,US,M,Data Engineering,6
134,2024,SE,FT,Data Engineer,130000,USD,130000,US,100,US,M,Data Engineering,5
135,2024,MI,FT,Data Engineer,198600,USD,198600,US,0,US,M,Data Engineering,3
136,2024,MI,FT,Data Engineer,94300,USD,94300,US,0,US,M,Data Engineering,2
137,2024,SE,FT,Analytics Engineer,720000,USD,720000,US,0,US,M,Data Engineering,5
138,2024,SE,FT,Analytics Engineer,170000,USD,170000,US,0,US,M,Data Engineering,7
139,2024,SE,FT,Data Scientist,210000,USD,210000,US,0,US,M,Data Science,7
140,2024,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,Data Science,5
141,2024,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M,Data Science,2
142,2024,MI,FT,Research Scientist,143000,USD,143000,US,0,US,M,Data Science,3
143,2024,SE,FT,Data Scientist,180000,USD,180000,US,0,US,M,Data Science,5
144,2024,SE,FT,Data Scientist,144000,USD,144000,US,0,US,M,Data Science,5
145,2024,MI,FT,Data Scientist,123844,USD,123844,US,0,US,M,Data Science,2
146,2024,MI,FT,Data Scientist,86691,USD,86691,US,0,US,M,Data Science,2
147,2024,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Science,6
148,2024,SE,FT,Data Scientist,212109,USD,212109,US,0,US,M,Data Science,9
149,2024,SE,FT,Research Engineer,251000,USD,251000,US,0,US,M,Other,8
150,2024,SE,FT,Research Engineer,177008,USD,177008,US,0,US,M,Other,5
151,2024,SE,FT,Data Engineer,196900,USD,196900,US,100,US,M,Data Engineering,7
152,2024,SE,FT,Data Engineer,196052,USD,196052,US,100,US,M,Data Engineering,9
153,2024,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Science,6
154,2024,SE,FT,Data Scientist,209720,USD,209720,US,0,US,M,Data Science,7
155,2024,MI,FT,Research Engineer,243300,USD,243300,US,0,US,M,Other,2
156,2024,MI,FT,Research Engineer,131500,USD,131500,US,0,US,M,Other,2
157,2024,SE,FT,Research Scientist,225000,USD,225000,US,0,US,M,Data Science,6
158,2024,SE,FT,Research Scientist,166000,USD,166000,US,0,US,M,Data Science,8
159,2024,SE,FT,Data Engineer,235400,USD,235400,US,0,US,M,Data Engineering,8
160,2024,SE,FT,Data Engineer,205380,USD,205380,US,0,US,M,Data Engineering,7
161,2024,SE,FT,Research Scientist,300000,USD,300000,US,0,US,M,Data Science,7
162,2024,SE,FT,Research Scientist,180000,USD,180000,US,0,US,M,Data Science,7
163,2024,SE,FT,Research Scientist,200200,USD,200200,US,0,US,M,Data Science,9
164,2024,SE,FT,Research Scientist,187178,USD,187178,US,0,US,M,Data Science,5
165,2024,MI,FT,Research Engineer,173000,USD,173000,US,0,US,M,Other,2
166,2024,MI,FT,Research Engineer,117000,USD,117000,US,0,US,M,Other,3
167,2024,SE,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Science,7
168,2024,SE,FT,Data Scientist,212109,USD,212109,US,0,US,M,Data Science,6
169,2024,SE,FT,Insight Analyst,117728,USD,117728,US,100,US,M,Other,6
170,2024,SE,FT,Insight Analyst,73632,USD,73632,US,100,US,M,Other,8
171,2024,EN,FT,Data Analyst,47000,GBP,58750,GB,0,GB,M,Other,1
172,2024,EN,FT,Data Analyst,40000,GBP,50000,GB,0,GB,M,Other,1
173,2024,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M,Data Engineering,6
174,2024,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M,Data Engineering,7
175,2024,SE,FT,BI Analyst,132500,USD,132500,US,0,US,M,Other,7
176,2024,SE,FT,BI Analyst,80000,USD,80000,US,0,US,M,Other,7
177,2024,SE,FT,Applied Scientist,304200,USD,304200,US,0,US,M,Data Science,6
178,2024,SE,FT,Applied Scientist,158500,USD,158500,US,0,US,M,Data Science,7
179,2024,SE,FT,Machine Learning Engineer,188500,USD,188500,US,0,US,M,Machine Learning,6
180,2024,SE,FT,Machine Learning Engineer,165100,USD,165100,US,0,US,M,Machine Learning,5
181,2024,MI,FT,AI Engineer,180000,USD,180000,US,0,US,M,Artificial_Intelligence,2
182,2024,MI,FT,AI Engineer,100000,USD,100000,US,0,US,M,Artificial_Intelligence,3
183,2024,SE,FT,Data Engineer,128656,USD,128656,US,0,US,M,Data Engineering,9
184,2024,SE,FT,Data Engineer,103330,USD,103330,US,0,US,M,Data Engineering,5
185,2024,SE,FT,Business Intelligence Lead,144300,USD,144300,US,0,US,M,Other,7
186,2024,SE,FT,Business Intelligence Lead,104800,USD,104800,US,0,US,M,Other,8
187,2024,MI,FT,Research Engineer,143376,USD,143376,US,0,US,M,Other,3
188,2024,MI,FT,Research Engineer,77500,USD,77500,US,0,US,M,Other,3
189,2024,MI,FT,BI Developer,110000,USD,110000,US,0,US,M,Data Engineering,3
190,2024,MI,FT,BI Developer,90000,USD,90000,US,0,US,M,Data Engineering,2
191,2024,MI,FT,Data Scientist,175900,USD,175900,US,0,US,M,Data Science,2
192,2024,MI,FT,Data Scientist,99700,USD,99700,US,0,US,M,Data Science,2
193,2024,SE,FT,Data Architect,212000,USD,212000,US,0,US,M,Data Architecture,9
194,2024,SE,FT,Data Architect,119000,USD,119000,US,0,US,M,Data Architecture,9
195,2024,SE,FT,Data Engineer,149000,USD,149000,US,100,US,M,Data Engineering,8
196,2024,SE,FT,Data Engineer,108000,USD,108000,US,100,US,M,Data Engineering,5
197,2024,SE,FT,Data Engineer,175000,USD,175000,US,0,US,M,Data Engineering,7
198,2024,SE,FT,Data Engineer,117000,USD,117000,US,0,US,M,Data Engineering,5
199,2024,MI,FT,Machine Learning Engineer,240240,USD,240240,US,0,US,M,Machine Learning,3
200,2024,MI,FT,Machine Learning Engineer,232587,USD,232587,US,0,US,M,Machine Learning,2
201,2024,MI,FT,Research Scientist,173000,USD,173000,US,0,US,M,Data Science,2
202,2024,MI,FT,Research Scientist,117000,USD,117000,US,0,US,M,Data Science,3
203,2024,SE,FT,Applied Scientist,249700,USD,249700,US,100,US,M,Data Science,8
204,2024,SE,FT,Applied Scientist,156300,USD,156300,US,100,US,M,Data Science,5
205,2024,MI,FT,Data Scientist,190000,USD,190000,US,0,US,M,Data Science,3
206,2024,MI,FT,Data Scientist,150000,USD,150000,US,0,US,M,Data Science,3
207,2024,SE,FT,Data Engineer,171210,USD,171210,CA,0,CA,M,Data Engineering,7
208,2024,SE,FT,Data Engineer,92190,USD,92190,CA,0,CA,M,Data Engineering,7
209,2024,EN,FT,Data Operations Analyst,117250,USD,117250,CA,0,CA,M,Data Engineering,1
210,2024,EN,FT,Data Operations Analyst,70350,USD,70350,CA,0,CA,M,Data Engineering,1
211,2024,MI,FT,Research Engineer,208000,USD,208000,US,100,US,M,Other,3
212,2024,MI,FT,Research Engineer,146994,USD,146994,US,100,US,M,Other,2
213,2024,SE,FT,Data Scientist,156000,USD,156000,US,0,US,M,Data Science,5
214,2024,SE,FT,Data Scientist,95105,USD,95105,US,0,US,M,Data Science,5
215,2024,SE,FT,Data Architect,160000,USD,160000,US,0,US,M,Data Architecture,9
216,2024,SE,FT,Data Architect,110000,USD,110000,US,0,US,M,Data Architecture,7
217,2024,MI,FT,Research Scientist,208000,USD,208000,US,0,US,M,Data Science,2
218,2024,MI,FT,Research Scientist,143000,USD,143000,US,0,US,M,Data Science,3
219,2024,SE,FT,Data Scientist,132600,USD,132600,US,0,US,M,Data Science,6
220,2024,SE,FT,Data Scientist,80845,USD,80845,US,0,US,M,Data Science,5
221,2024,SE,FT,Data Scientist,196900,USD,196900,US,0,US,M,Data Science,9
222,2024,SE,FT,Data Scientist,175654,USD,175654,US,0,US,M,Data Science,8
223,2024,MI,FT,Machine Learning Engineer,256500,USD,256500,US,0,US,M,Machine Learning,2
224,2024,MI,FT,Machine Learning Engineer,138900,USD,138900,US,0,US,M,Machine Learning,2
225,2024,EN,FT,Data Engineer,101520,USD,101520,US,100,US,M,Data Engineering,1
226,2024,EN,FT,Data Engineer,45864,USD,45864,US,100,US,M,Data Engineering,1
227,2024,SE,FT,Data Scientist,238600,USD,238600,US,0,US,M,Data Science,9
228,2024,SE,FT,Data Scientist,112000,USD,112000,US,0,US,M,Data Science,5
229,2024,EN,FT,Data Reporting Analyst,106100,USD,106100,US,0,US,M,Other,1
230,2024,EN,FT,Data Reporting Analyst,74300,USD,74300,US,0,US,M,Other,1
231,2024,MI,FT,Applied Scientist,198600,USD,198600,US,0,US,M,Data Science,3
232,2024,MI,FT,Applied Scientist,94300,USD,94300,US,0,US,M,Data Science,2
233,2024,MI,FT,Machine Learning Engineer,179000,USD,179000,US,0,US,M,Machine Learning,3
234,2024,MI,FT,Machine Learning Engineer,112000,USD,112000,US,0,US,M,Machine Learning,2
235,2024,SE,FT,Data Engineer,220000,USD,220000,US,0,US,M,Data Engineering,5
236,2024,SE,FT,Data Engineer,96600,USD,96600,US,0,US,M,Data Engineering,5
237,2024,SE,FT,Data Scientist,236900,USD,236900,US,0,US,M,Data Science,7
238,2024,SE,FT,Data Scientist,118450,USD,118450,US,0,US,M,Data Science,7
239,2024,SE,FT,Data Analyst,96600,USD,96600,US,0,US,M,Other,5
240,2024,SE,FT,Data Analyst,55200,USD,55200,US,0,US,M,Other,7
241,2024,SE,FT,Data Engineer,230000,USD,230000,US,0,US,M,Data Engineering,6
242,2024,SE,FT,Data Engineer,200000,USD,200000,US,0,US,M,Data Engineering,5
243,2024,MI,FT,Business Intelligence Developer,187982,USD,187982,US,0,US,M,Other,3
244,2024,MI,FT,Business Intelligence Developer,113928,USD,113928,US,0,US,M,Other,3
245,2024,SE,FT,Data Analyst,172000,USD,172000,US,0,US,M,Other,7
246,2024,SE,FT,Data Analyst,75600,USD,75600,US,0,US,M,Other,9
247,2024,EN,FT,Business Intelligence Analyst,79424,USD,79424,CA,0,CA,M,Other,1
248,2024,EN,FT,Business Intelligence Analyst,63539,USD,63539,CA,0,CA,M,Other,1
249,2024,MI,FT,Data Engineer,220000,USD,220000,US,0,US,M,Data Engineering,2
250,2024,MI,FT,Data Engineer,172000,USD,172000,US,0,US,M,Data Engineering,3
251,2024,SE,FT,Machine Learning Engineer,237000,USD,237000,US,100,US,M,Machine Learning,7
252,2024,SE,FT,Machine Learning Engineer,161200,USD,161200,US,100,US,M,Machine Learning,5
253,2024,SE,FT,AI Engineer,180000,USD,180000,US,0,US,S,Artificial_Intelligence,6
254,2024,SE,FT,AI Engineer,100000,USD,100000,US,0,US,S,Artificial_Intelligence,9
255,2024,MI,FT,Data Scientist,35000,GBP,43750,GB,0,GB,M,Data Science,2
256,2024,MI,FT,Data Scientist,35000,GBP,43750,GB,0,GB,M,Data Science,3
257,2024,MI,FT,Research Scientist,173000,USD,173000,US,0,US,M,Data Science,2
258,2024,MI,FT,Research Scientist,117000,USD,117000,US,0,US,M,Data Science,2
259,2024,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M,Other,5
260,2024,SE,FT,Data Analyst,147000,USD,147000,US,100,US,M,Other,9
261,2024,MI,FT,Data Engineer,121586,USD,121586,US,0,US,M,Data Engineering,3
262,2024,MI,FT,Data Engineer,76115,USD,76115,US,0,US,M,Data Engineering,2
263,2024,SE,FT,Machine Learning Engineer,259000,USD,259000,US,100,US,M,Machine Learning,5
264,2024,SE,FT,Machine Learning Engineer,204000,USD,204000,US,100,US,M,Machine Learning,7
265,2024,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M,Data Engineering,2
266,2024,MI,FT,Data Engineer,117000,USD,117000,US,0,US,M,Data Engineering,2
267,2024,MI,FT,Data Product Owner,135000,USD,135000,US,100,US,M,Other,3
268,2024,MI,FT,Data Product Owner,105000,USD,105000,US,100,US,M,Other,2
269,2024,MI,FT,Data Specialist,73000,USD,73000,US,0,US,M,Other,2
270,2024,MI,FT,Data Specialist,73000,USD,73000,US,0,US,M,Other,3
271,2024,SE,FT,Machine Learning Engineer,283780,USD,283780,US,0,US,M,Machine Learning,5
272,2024,SE,FT,Machine Learning Engineer,233840,USD,233840,US,0,US,M,Machine Learning,6
273,2024,SE,FT,Data Scientist,157750,USD,157750,US,100,US,M,Data Science,6
274,2024,SE,FT,Data Scientist,123525,USD,123525,US,100,US,M,Data Science,5
275,2024,SE,FT,Data Scientist,267800,USD,267800,US,0,US,M,Data Science,7
276,2024,SE,FT,Data Scientist,136218,USD,136218,US,0,US,M,Data Science,6
277,2024,MI,FT,Data Analyst,107400,USD,107400,US,0,US,L,Other,3
278,2024,MI,FT,Data Analyst,47500,USD,47500,US,0,US,L,Other,2
279,2024,MI,FT,Data Scientist,212800,USD,212800,US,0,US,L,Data Science,2
280,2024,MI,FT,Data Scientist,111600,USD,111600,US,0,US,L,Data Science,2
281,2024,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,Data Science,7
282,2024,SE,FT,Data Scientist,167000,USD,167000,US,0,US,M,Data Science,9
283,2024,EN,FT,Data Analyst,68100,EUR,75666,FR,0,FR,M,Other,1
284,2024,EN,FT,Data Analyst,40950,EUR,45500,FR,0,FR,M,Other,1
285,2024,SE,FT,Data Analyst,205800,USD,205800,US,0,US,M,Other,7
286,2024,SE,FT,Data Analyst,136500,USD,136500,US,0,US,M,Other,5
287,2024,SE,FT,Machine Learning Engineer,280000,USD,280000,US,0,US,M,Machine Learning,9
288,2024,SE,FT,Machine Learning Engineer,230000,USD,230000,US,0,US,M,Machine Learning,5
289,2024,MI,FT,Research Scientist,260570,USD,260570,US,100,US,M,Data Science,3
290,2024,MI,FT,Research Scientist,167030,USD,167030,US,100,US,M,Data Science,2
291,2024,MI,FT,Data Engineer,185000,USD,185000,US,0,US,L,Data Engineering,3
292,2024,MI,FT,Data Engineer,81000,USD,81000,US,0,US,L,Data Engineering,2
293,2024,SE,FT,Data Engineer,198000,USD,198000,US,0,US,M,Data Engineering,7
294,2024,SE,FT,Data Engineer,135000,USD,135000,US,0,US,M,Data Engineering,6
295,2024,SE,FT,Data Scientist,238600,USD,238600,US,0,US,M,Data Science,5
296,2024,SE,FT,Data Scientist,112000,USD,112000,US,0,US,M,Data Science,6
297,2024,SE,FT,Data Scientist,223000,USD,223000,US,0,US,M,Data Science,9
298,2024,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Data Science,9
299,2024,SE,FT,Business Intelligence,190000,USD,190000,US,100,US,M,Other,6
300,2024,SE,FT,Business Intelligence,157000,USD,157000,US,100,US,M,Other,6
301,2024,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Data Engineering,3
302,2024,MI,FT,Data Engineer,85000,USD,85000,US,100,US,M,Data Engineering,3
303,2024,MI,FT,BI Analyst,142300,USD,142300,US,0,US,M,Other,3
304,2024,MI,FT,BI Analyst,94900,USD,94900,US,0,US,M,Other,2
305,2024,SE,FT,Data Engineer,320850,USD,320850,US,0,US,M,Data Engineering,9
306,2024,SE,FT,Data Engineer,222700,USD,222700,US,0,US,M,Data Engineering,6
307,2024,SE,FT,Data Scientist,180000,USD,180000,US,100,US,M,Data Science,7
308,2024,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M,Data Science,7
309,2024,MI,FT,Analytics Engineer,130000,USD,130000,US,0,US,M,Data Engineering,2
310,2024,MI,FT,Analytics Engineer,100000,USD,100000,US,0,US,M,Data Engineering,3
311,2024,SE,FT,Machine Learning Engineer,538400,USD,538400,US,0,US,M,Machine Learning,5
312,2024,SE,FT,Machine Learning Engineer,254600,USD,254600,US,0,US,M,Machine Learning,9
313,2024,MI,FT,Data Manager,123000,USD,123000,US,0,US,M,Management,3
314,2024,MI,FT,Data Manager,95000,USD,95000,US,0,US,M,Management,3
315,2024,MI,FT,Data Scientist,235400,USD,235400,US,0,US,M,Data Science,2
316,2024,MI,FT,Data Scientist,209720,USD,209720,US,0,US,M,Data Science,2
317,2024,SE,FT,Data Scientist,190000,USD,190000,US,100,US,M,Data Science,7
318,2024,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M,Data Science,8
319,2024,SE,FT,Analytics Engineer,244400,USD,244400,US,0,US,M,Data Engineering,7
