,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,years_of_experience,job_category
29,2024,Mid level,Full time,Data Engineer,137930,CA,On Site,CA,Medium,3,Data Engineering
30,2024,Mid level,Full time,Data Engineer,74270,CA,On Site,CA,Medium,2,Data Engineering
31,2024,Senior,Full time,Data Scientist,188500,US,On Site,US,Medium,5,Data Science
32,2024,Senior,Full time,Data Scientist,165100,US,On Site,US,Medium,9,Data Science
33,2024,Senior,Full time,Data Scientist,199500,US,Full Remote,US,Medium,5,Data Science
34,2024,Senior,Full time,Data Scientist,86700,US,Full Remote,US,Medium,7,Data Science
35,2024,Senior,Full time,Data Engineer,128000,US,On Site,US,Medium,6,Data Engineering
36,2024,Senior,Full time,Data Engineer,81500,US,On Site,US,Medium,9,Data Engineering
37,2024,Senior,Full time,Data Analyst,108334,US,On Site,US,Medium,8,Other
38,2024,Senior,Full time,Data Analyst,59923,US,On Site,US,Medium,9,Other
39,2024,Senior,Full time,Business Intelligence Analyst,109000,US,On Site,US,Medium,5,Other
40,2024,Senior,Full time,Business Intelligence Analyst,62300,US,On Site,US,Medium,7,Other
41,2024,Senior,Full time,Data Architect,184000,US,On Site,US,Medium,6,Data Architecture
42,2024,Senior,Full time,Data Architect,123000,US,On Site,US,Medium,8,Data Architecture
43,2024,Entry level,Full time,Data Analyst,143000,CA,On Site,CA,Medium,1,Other
44,2024,Entry level,Full time,Data Analyst,82900,CA,On Site,CA,Medium,1,Other
45,2024,Senior,Full time,Research Engineer,440000,US,On Site,US,Medium,6,Other
46,2024,Senior,Full time,Research Engineer,360000,US,On Site,US,Medium,5,Other
47,2024,Mid level,Full time,Data Engineer,218500,US,Full Remote,US,Medium,3,Data Engineering
48,2024,Mid level,Full time,Data Engineer,210662,US,Full Remote,US,Medium,2,Data Engineering
49,2024,Senior,Full time,Data Analyst,56280,US,On Site,US,Medium,6,Other
50,2024,Senior,Full time,Data Analyst,41820,US,On Site,US,Medium,8,Other
51,2024,Mid level,Full time,Research Scientist,145000,US,On Site,US,Medium,2,Data Science
52,2024,Mid level,Full time,Research Scientist,103000,US,On Site,US,Medium,3,Data Science
53,2024,Senior,Full time,Data Engineer,196900,US,Full Remote,US,Medium,6,Data Engineering
54,2024,Senior,Full time,Data Engineer,174271,US,Full Remote,US,Medium,8,Data Engineering
55,2024,Senior,Full time,Data Engineer,153000,US,On Site,US,Medium,9,Data Engineering
56,2024,Senior,Full time,Data Engineer,102000,US,On Site,US,Medium,6,Data Engineering
57,2024,Executive level,Full time,Data Engineer,320000,US,Full Remote,US,Medium,12,Data Engineering
58,2024,Executive level,Full time,Data Engineer,215000,US,Full Remote,US,Medium,14,Data Engineering
59,2024,Mid level,Full time,Research Analyst,160000,US,On Site,US,Medium,2,Other
60,2024,Mid level,Full time,Research Analyst,100000,US,On Site,US,Medium,3,Other
61,2024,Senior,Full time,Data Engineer,154400,US,Full Remote,US,Medium,5,Data Engineering
62,2024,Senior,Full time,Data Engineer,123520,US,Full Remote,US,Medium,9,Data Engineering
63,2024,Senior,Full time,Data Engineer,341000,US,Full Remote,US,Medium,7,Data Engineering
64,2024,Senior,Full time,Data Engineer,228800,US,Full Remote,US,Medium,6,Data Engineering
65,2024,Senior,Full time,Data Scientist,125000,US,Full Remote,US,Medium,7,Data Science
66,2024,Senior,Full time,Data Scientist,108000,US,Full Remote,US,Medium,8,Data Science
67,2024,Mid level,Full time,Data Analytics Manager,170000,US,Full Remote,US,Medium,2,Management
68,2024,Mid level,Full time,Data Analytics Manager,150000,US,Full Remote,US,Medium,3,Management
69,2024,Mid level,Full time,Data Scientist,218500,US,Full Remote,US,Medium,3,Data Science
70,2024,Mid level,Full time,Data Scientist,190000,US,Full Remote,US,Medium,2,Data Science
71,2024,Senior,Full time,Machine Learning Engineer,243300,US,On Site,US,Medium,8,Machine Learning
72,2024,Senior,Full time,Machine Learning Engineer,131500,US,On Site,US,Medium,6,Machine Learning
73,2024,Senior,Full time,Data Scientist,244000,US,Full Remote,US,Medium,7,Data Science
74,2024,Senior,Full time,Data Scientist,160000,US,Full Remote,US,Medium,8,Data Science
75,2024,Mid level,Full time,Data Engineer,243300,US,On Site,US,Medium,2,Data Engineering
76,2024,Mid level,Full time,Data Engineer,131500,US,On Site,US,Medium,3,Data Engineering
77,2024,Senior,Full time,Data Scientist,235400,US,On Site,US,Medium,9,Data Science
78,2024,Senior,Full time,Data Scientist,216705,US,On Site,US,Medium,9,Data Science
79,2024,Senior,Full time,Research Scientist,251000,US,On Site,US,Medium,7,Data Science
80,2024,Senior,Full time,Research Scientist,177000,US,On Site,US,Medium,9,Data Science
81,2024,Senior,Full time,Research Scientist,239000,US,On Site,US,Medium,5,Data Science
82,2024,Senior,Full time,Research Scientist,161000,US,On Site,US,Medium,7,Data Science
83,2024,Senior,Full time,Data Engineer,160000,US,On Site,US,Medium,9,Data Engineering
84,2024,Senior,Full time,Data Engineer,125000,US,On Site,US,Medium,6,Data Engineering
85,2024,Senior,Full time,Data Scientist,252000,US,On Site,US,Medium,7,Data Science
86,2024,Senior,Full time,Data Scientist,168000,US,On Site,US,Medium,6,Data Science
87,2024,Executive level,Full time,Data Engineer,219650,US,Full Remote,US,Medium,12,Data Engineering
88,2024,Executive level,Full time,Data Engineer,136000,US,Full Remote,US,Medium,13,Data Engineering
89,2024,Senior,Full time,Machine Learning Engineer,300200,US,On Site,US,Medium,8,Machine Learning
90,2024,Senior,Full time,Machine Learning Engineer,199800,US,On Site,US,Medium,6,Machine Learning
91,2024,Mid level,Full time,Data Scientist,110000,US,On Site,US,Medium,3,Data Science
92,2024,Mid level,Full time,Data Scientist,110000,US,On Site,US,Medium,3,Data Science
93,2024,Mid level,Full time,Data Product Manager,160455,US,On Site,US,Medium,3,Management
94,2024,Mid level,Full time,Data Product Manager,91318,US,On Site,US,Medium,3,Management
95,2024,Senior,Full time,Data Scientist,212800,US,On Site,US,Large,9,Data Science
96,2024,Senior,Full time,Data Scientist,111600,US,On Site,US,Large,8,Data Science
97,2024,Senior,Full time,Data Scientist,174000,US,Full Remote,US,Medium,6,Data Science
98,2024,Senior,Full time,Data Scientist,139200,US,Full Remote,US,Medium,7,Data Science
99,2024,Mid level,Full time,Research Engineer,208000,US,On Site,US,Medium,2,Other
100,2024,Mid level,Full time,Research Engineer,146994,US,On Site,US,Medium,2,Other
101,2024,Mid level,Full time,Machine Learning Engineer,160000,US,On Site,US,Medium,2,Machine Learning
102,2024,Mid level,Full time,Machine Learning Engineer,140000,US,On Site,US,Medium,2,Machine Learning
103,2024,Senior,Full time,Data Scientist,364100,US,On Site,US,Medium,8,Data Science
104,2024,Senior,Full time,Data Scientist,210900,US,On Site,US,Medium,7,Data Science
105,2024,Entry level,Full time,Data Analytics Lead,198400,US,Full Remote,US,Medium,1,Management
106,2024,Entry level,Full time,Data Analytics Lead,132300,US,Full Remote,US,Medium,1,Management
107,2024,Senior,Full time,Data Analytics Lead,185000,US,On Site,US,Medium,9,Management
108,2024,Senior,Full time,Data Analytics Lead,150000,US,On Site,US,Medium,5,Management
109,2024,Mid level,Full time,Analytics Engineer,50000,GB,On Site,GB,Medium,2,Data Engineering
110,2024,Mid level,Full time,Analytics Engineer,43750,GB,On Site,GB,Medium,3,Data Engineering
111,2024,Senior,Full time,Business Intelligence Engineer,202800,US,On Site,US,Large,5,Other
112,2024,Senior,Full time,Business Intelligence Engineer,104300,US,On Site,US,Large,8,Other
113,2024,Senior,Full time,Machine Learning Engineer,145400,US,On Site,US,Medium,7,Machine Learning
114,2024,Senior,Full time,Machine Learning Engineer,145400,US,On Site,US,Medium,8,Machine Learning
115,2024,Mid level,Full time,Data Manager,73300,US,On Site,US,Medium,3,Management
116,2024,Mid level,Full time,Data Manager,67600,US,On Site,US,Medium,2,Management
117,2024,Mid level,Full time,Research Scientist,208000,US,On Site,US,Medium,3,Data Science
118,2024,Mid level,Full time,Research Scientist,143000,US,On Site,US,Medium,2,Data Science
119,2024,Senior,Full time,Data Architect,144000,US,On Site,US,Medium,8,Data Architecture
120,2024,Senior,Full time,Data Architect,117000,US,On Site,US,Medium,5,Data Architecture
121,2024,Mid level,Full time,Research Scientist,250800,US,On Site,US,Medium,2,Data Science
122,2024,Mid level,Full time,Research Scientist,167200,US,On Site,US,Medium,3,Data Science
123,2024,Mid level,Full time,Machine Learning Scientist,180000,CA,Full Remote,CA,Medium,3,Other
124,2024,Mid level,Full time,Machine Learning Scientist,117000,CA,Full Remote,CA,Medium,3,Other
125,2024,Mid level,Full time,Data Engineer,115000,US,On Site,US,Medium,2,Data Engineering
126,2024,Mid level,Full time,Data Engineer,100000,US,On Site,US,Medium,3,Data Engineering
127,2024,Mid level,Full time,Prompt Engineer,500000,US,On Site,US,Medium,2,Artificial_Intelligence
128,2024,Mid level,Full time,Prompt Engineer,100000,US,On Site,US,Medium,3,Artificial_Intelligence
129,2024,Senior,Full time,Data Scientist,190000,US,On Site,US,Medium,7,Data Science
130,2024,Senior,Full time,Data Scientist,160000,US,On Site,US,Medium,6,Data Science
131,2024,Senior,Full time,Machine Learning Engineer,300200,US,On Site,US,Medium,8,Machine Learning
132,2024,Senior,Full time,Machine Learning Engineer,170700,US,On Site,US,Medium,5,Machine Learning
133,2024,Senior,Full time,Data Engineer,170000,US,Full Remote,US,Medium,8,Data Engineering
134,2024,Senior,Full time,Data Engineer,130000,US,Full Remote,US,Medium,6,Data Engineering
135,2024,Mid level,Full time,Data Engineer,198600,US,On Site,US,Medium,2,Data Engineering
136,2024,Mid level,Full time,Data Engineer,94300,US,On Site,US,Medium,2,Data Engineering
137,2024,Senior,Full time,Analytics Engineer,720000,US,On Site,US,Medium,8,Data Engineering
138,2024,Senior,Full time,Analytics Engineer,170000,US,On Site,US,Medium,6,Data Engineering
139,2024,Senior,Full time,Data Scientist,210000,US,On Site,US,Medium,9,Data Science
140,2024,Senior,Full time,Data Scientist,160000,US,On Site,US,Medium,9,Data Science
141,2024,Mid level,Full time,Research Scientist,208000,US,On Site,US,Medium,3,Data Science
142,2024,Mid level,Full time,Research Scientist,143000,US,On Site,US,Medium,3,Data Science
143,2024,Senior,Full time,Data Scientist,180000,US,On Site,US,Medium,7,Data Science
144,2024,Senior,Full time,Data Scientist,144000,US,On Site,US,Medium,7,Data Science
145,2024,Mid level,Full time,Data Scientist,123844,US,On Site,US,Medium,3,Data Science
146,2024,Mid level,Full time,Data Scientist,86691,US,On Site,US,Medium,2,Data Science
147,2024,Senior,Full time,Data Scientist,235400,US,On Site,US,Medium,5,Data Science
148,2024,Senior,Full time,Data Scientist,212109,US,On Site,US,Medium,5,Data Science
149,2024,Senior,Full time,Research Engineer,251000,US,On Site,US,Medium,8,Other
150,2024,Senior,Full time,Research Engineer,177008,US,On Site,US,Medium,8,Other
151,2024,Senior,Full time,Data Engineer,196900,US,Full Remote,US,Medium,6,Data Engineering
152,2024,Senior,Full time,Data Engineer,196052,US,Full Remote,US,Medium,9,Data Engineering
153,2024,Senior,Full time,Data Scientist,235400,US,On Site,US,Medium,8,Data Science
154,2024,Senior,Full time,Data Scientist,209720,US,On Site,US,Medium,6,Data Science
155,2024,Mid level,Full time,Research Engineer,243300,US,On Site,US,Medium,2,Other
156,2024,Mid level,Full time,Research Engineer,131500,US,On Site,US,Medium,2,Other
157,2024,Senior,Full time,Research Scientist,225000,US,On Site,US,Medium,9,Data Science
158,2024,Senior,Full time,Research Scientist,166000,US,On Site,US,Medium,9,Data Science
159,2024,Senior,Full time,Data Engineer,235400,US,On Site,US,Medium,7,Data Engineering
160,2024,Senior,Full time,Data Engineer,205380,US,On Site,US,Medium,6,Data Engineering
161,2024,Senior,Full time,Research Scientist,300000,US,On Site,US,Medium,6,Data Science
162,2024,Senior,Full time,Research Scientist,180000,US,On Site,US,Medium,8,Data Science
163,2024,Senior,Full time,Research Scientist,200200,US,On Site,US,Medium,8,Data Science
164,2024,Senior,Full time,Research Scientist,187178,US,On Site,US,Medium,5,Data Science
165,2024,Mid level,Full time,Research Engineer,173000,US,On Site,US,Medium,3,Other
166,2024,Mid level,Full time,Research Engineer,117000,US,On Site,US,Medium,3,Other
167,2024,Senior,Full time,Data Scientist,235400,US,On Site,US,Medium,9,Data Science
168,2024,Senior,Full time,Data Scientist,212109,US,On Site,US,Medium,8,Data Science
169,2024,Senior,Full time,Insight Analyst,117728,US,Full Remote,US,Medium,7,Other
170,2024,Senior,Full time,Insight Analyst,73632,US,Full Remote,US,Medium,7,Other
171,2024,Entry level,Full time,Data Analyst,58750,GB,On Site,GB,Medium,1,Other
172,2024,Entry level,Full time,Data Analyst,50000,GB,On Site,GB,Medium,1,Other
173,2024,Senior,Full time,Data Engineer,175000,US,On Site,US,Medium,8,Data Engineering
174,2024,Senior,Full time,Data Engineer,150000,US,On Site,US,Medium,7,Data Engineering
175,2024,Senior,Full time,BI Analyst,132500,US,On Site,US,Medium,9,Other
176,2024,Senior,Full time,BI Analyst,80000,US,On Site,US,Medium,8,Other
177,2024,Senior,Full time,Applied Scientist,304200,US,On Site,US,Medium,9,Data Science
178,2024,Senior,Full time,Applied Scientist,158500,US,On Site,US,Medium,6,Data Science
179,2024,Senior,Full time,Machine Learning Engineer,188500,US,On Site,US,Medium,6,Machine Learning
180,2024,Senior,Full time,Machine Learning Engineer,165100,US,On Site,US,Medium,8,Machine Learning
181,2024,Mid level,Full time,AI Engineer,180000,US,On Site,US,Medium,2,Artificial_Intelligence
182,2024,Mid level,Full time,AI Engineer,100000,US,On Site,US,Medium,2,Artificial_Intelligence
183,2024,Senior,Full time,Data Engineer,128656,US,On Site,US,Medium,7,Data Engineering
184,2024,Senior,Full time,Data Engineer,103330,US,On Site,US,Medium,6,Data Engineering
185,2024,Senior,Full time,Business Intelligence Lead,144300,US,On Site,US,Medium,9,Other
186,2024,Senior,Full time,Business Intelligence Lead,104800,US,On Site,US,Medium,8,Other
187,2024,Mid level,Full time,Research Engineer,143376,US,On Site,US,Medium,2,Other
188,2024,Mid level,Full time,Research Engineer,77500,US,On Site,US,Medium,2,Other
189,2024,Mid level,Full time,BI Developer,110000,US,On Site,US,Medium,2,Data Engineering
190,2024,Mid level,Full time,BI Developer,90000,US,On Site,US,Medium,2,Data Engineering
191,2024,Mid level,Full time,Data Scientist,175900,US,On Site,US,Medium,2,Data Science
192,2024,Mid level,Full time,Data Scientist,99700,US,On Site,US,Medium,3,Data Science
193,2024,Senior,Full time,Data Architect,212000,US,On Site,US,Medium,9,Data Architecture
194,2024,Senior,Full time,Data Architect,119000,US,On Site,US,Medium,5,Data Architecture
195,2024,Senior,Full time,Data Engineer,149000,US,Full Remote,US,Medium,9,Data Engineering
196,2024,Senior,Full time,Data Engineer,108000,US,Full Remote,US,Medium,9,Data Engineering
197,2024,Senior,Full time,Data Engineer,175000,US,On Site,US,Medium,5,Data Engineering
198,2024,Senior,Full time,Data Engineer,117000,US,On Site,US,Medium,7,Data Engineering
199,2024,Mid level,Full time,Machine Learning Engineer,240240,US,On Site,US,Medium,2,Machine Learning
200,2024,Mid level,Full time,Machine Learning Engineer,232587,US,On Site,US,Medium,3,Machine Learning
201,2024,Mid level,Full time,Research Scientist,173000,US,On Site,US,Medium,2,Data Science
202,2024,Mid level,Full time,Research Scientist,117000,US,On Site,US,Medium,2,Data Science
203,2024,Senior,Full time,Applied Scientist,249700,US,Full Remote,US,Medium,9,Data Science
204,2024,Senior,Full time,Applied Scientist,156300,US,Full Remote,US,Medium,9,Data Science
205,2024,Mid level,Full time,Data Scientist,190000,US,On Site,US,Medium,2,Data Science
206,2024,Mid level,Full time,Data Scientist,150000,US,On Site,US,Medium,2,Data Science
207,2024,Senior,Full time,Data Engineer,171210,CA,On Site,CA,Medium,8,Data Engineering
208,2024,Senior,Full time,Data Engineer,92190,CA,On Site,CA,Medium,9,Data Engineering
209,2024,Entry level,Full time,Data Operations Analyst,117250,CA,On Site,CA,Medium,1,Data Engineering
210,2024,Entry level,Full time,Data Operations Analyst,70350,CA,On Site,CA,Medium,1,Data Engineering
211,2024,Mid level,Full time,Research Engineer,208000,US,Full Remote,US,Medium,2,Other
212,2024,Mid level,Full time,Research Engineer,146994,US,Full Remote,US,Medium,2,Other
213,2024,Senior,Full time,Data Scientist,156000,US,On Site,US,Medium,7,Data Science
214,2024,Senior,Full time,Data Scientist,95105,US,On Site,US,Medium,7,Data Science
215,2024,Senior,Full time,Data Architect,160000,US,On Site,US,Medium,7,Data Architecture
216,2024,Senior,Full time,Data Architect,110000,US,On Site,US,Medium,7,Data Architecture
217,2024,Mid level,Full time,Research Scientist,208000,US,On Site,US,Medium,2,Data Science
218,2024,Mid level,Full time,Research Scientist,143000,US,On Site,US,Medium,2,Data Science
219,2024,Senior,Full time,Data Scientist,132600,US,On Site,US,Medium,6,Data Science
220,2024,Senior,Full time,Data Scientist,80845,US,On Site,US,Medium,8,Data Science
221,2024,Senior,Full time,Data Scientist,196900,US,On Site,US,Medium,6,Data Science
222,2024,Senior,Full time,Data Scientist,175654,US,On Site,US,Medium,6,Data Science
223,2024,Mid level,Full time,Machine Learning Engineer,256500,US,On Site,US,Medium,3,Machine Learning
224,2024,Mid level,Full time,Machine Learning Engineer,138900,US,On Site,US,Medium,3,Machine Learning
225,2024,Entry level,Full time,Data Engineer,101520,US,Full Remote,US,Medium,1,Data Engineering
226,2024,Entry level,Full time,Data Engineer,45864,US,Full Remote,US,Medium,1,Data Engineering
227,2024,Senior,Full time,Data Scientist,238600,US,On Site,US,Medium,7,Data Science
228,2024,Senior,Full time,Data Scientist,112000,US,On Site,US,Medium,9,Data Science
229,2024,Entry level,Full time,Data Reporting Analyst,106100,US,On Site,US,Medium,1,Other
230,2024,Entry level,Full time,Data Reporting Analyst,74300,US,On Site,US,Medium,1,Other
231,2024,Mid level,Full time,Applied Scientist,198600,US,On Site,US,Medium,2,Data Science
232,2024,Mid level,Full time,Applied Scientist,94300,US,On Site,US,Medium,2,Data Science
233,2024,Mid level,Full time,Machine Learning Engineer,179000,US,On Site,US,Medium,2,Machine Learning
234,2024,Mid level,Full time,Machine Learning Engineer,112000,US,On Site,US,Medium,2,Machine Learning
235,2024,Senior,Full time,Data Engineer,220000,US,On Site,US,Medium,6,Data Engineering
236,2024,Senior,Full time,Data Engineer,96600,US,On Site,US,Medium,8,Data Engineering
237,2024,Senior,Full time,Data Scientist,236900,US,On Site,US,Medium,7,Data Science
238,2024,Senior,Full time,Data Scientist,118450,US,On Site,US,Medium,8,Data Science
239,2024,Senior,Full time,Data Analyst,96600,US,On Site,US,Medium,8,Other
240,2024,Senior,Full time,Data Analyst,55200,US,On Site,US,Medium,6,Other
241,2024,Senior,Full time,Data Engineer,230000,US,On Site,US,Medium,9,Data Engineering
242,2024,Senior,Full time,Data Engineer,200000,US,On Site,US,Medium,6,Data Engineering
243,2024,Mid level,Full time,Business Intelligence Developer,187982,US,On Site,US,Medium,3,Other
244,2024,Mid level,Full time,Business Intelligence Developer,113928,US,On Site,US,Medium,3,Other
245,2024,Senior,Full time,Data Analyst,172000,US,On Site,US,Medium,9,Other
246,2024,Senior,Full time,Data Analyst,75600,US,On Site,US,Medium,5,Other
247,2024,Entry level,Full time,Business Intelligence Analyst,79424,CA,On Site,CA,Medium,1,Other
248,2024,Entry level,Full time,Business Intelligence Analyst,63539,CA,On Site,CA,Medium,1,Other
249,2024,Mid level,Full time,Data Engineer,220000,US,On Site,US,Medium,2,Data Engineering
250,2024,Mid level,Full time,Data Engineer,172000,US,On Site,US,Medium,2,Data Engineering
251,2024,Senior,Full time,Machine Learning Engineer,237000,US,Full Remote,US,Medium,6,Machine Learning
252,2024,Senior,Full time,Machine Learning Engineer,161200,US,Full Remote,US,Medium,6,Machine Learning
253,2024,Senior,Full time,AI Engineer,180000,US,On Site,US,Small,5,Artificial_Intelligence
254,2024,Senior,Full time,AI Engineer,100000,US,On Site,US,Small,9,Artificial_Intelligence
255,2024,Mid level,Full time,Data Scientist,43750,GB,On Site,GB,Medium,2,Data Science
256,2024,Mid level,Full time,Data Scientist,43750,GB,On Site,GB,Medium,2,Data Science
257,2024,Mid level,Full time,Research Scientist,173000,US,On Site,US,Medium,2,Data Science
258,2024,Mid level,Full time,Research Scientist,117000,US,On Site,US,Medium,3,Data Science
259,2024,Senior,Full time,Data Analyst,170000,US,Full Remote,US,Medium,9,Other
260,2024,Senior,Full time,Data Analyst,147000,US,Full Remote,US,Medium,7,Other
261,2024,Mid level,Full time,Data Engineer,121586,US,On Site,US,Medium,3,Data Engineering
262,2024,Mid level,Full time,Data Engineer,76115,US,On Site,US,Medium,3,Data Engineering
263,2024,Senior,Full time,Machine Learning Engineer,259000,US,Full Remote,US,Medium,7,Machine Learning
264,2024,Senior,Full time,Machine Learning Engineer,204000,US,Full Remote,US,Medium,9,Machine Learning
265,2024,Mid level,Full time,Data Engineer,175000,US,On Site,US,Medium,3,Data Engineering
266,2024,Mid level,Full time,Data Engineer,117000,US,On Site,US,Medium,3,Data Engineering
267,2024,Mid level,Full time,Data Product Owner,135000,US,Full Remote,US,Medium,3,Other
268,2024,Mid level,Full time,Data Product Owner,105000,US,Full Remote,US,Medium,2,Other
269,2024,Mid level,Full time,Data Specialist,73000,US,On Site,US,Medium,2,Other
270,2024,Mid level,Full time,Data Specialist,73000,US,On Site,US,Medium,3,Other
271,2024,Senior,Full time,Machine Learning Engineer,283780,US,On Site,US,Medium,5,Machine Learning
272,2024,Senior,Full time,Machine Learning Engineer,233840,US,On Site,US,Medium,9,Machine Learning
273,2024,Senior,Full time,Data Scientist,157750,US,Full Remote,US,Medium,7,Data Science
274,2024,Senior,Full time,Data Scientist,123525,US,Full Remote,US,Medium,5,Data Science
275,2024,Senior,Full time,Data Scientist,267800,US,On Site,US,Medium,9,Data Science
276,2024,Senior,Full time,Data Scientist,136218,US,On Site,US,Medium,8,Data Science
277,2024,Mid level,Full time,Data Analyst,107400,US,On Site,US,Large,2,Other
278,2024,Mid level,Full time,Data Analyst,47500,US,On Site,US,Large,2,Other
279,2024,Mid level,Full time,Data Scientist,212800,US,On Site,US,Large,3,Data Science
280,2024,Mid level,Full time,Data Scientist,111600,US,On Site,US,Large,2,Data Science
281,2024,Senior,Full time,Data Scientist,250000,US,On Site,US,Medium,9,Data Science
282,2024,Senior,Full time,Data Scientist,167000,US,On Site,US,Medium,8,Data Science
283,2024,Entry level,Full time,Data Analyst,75666,FR,On Site,FR,Medium,1,Other
284,2024,Entry level,Full time,Data Analyst,45500,FR,On Site,FR,Medium,1,Other
285,2024,Senior,Full time,Data Analyst,205800,US,On Site,US,Medium,7,Other
286,2024,Senior,Full time,Data Analyst,136500,US,On Site,US,Medium,6,Other
287,2024,Senior,Full time,Machine Learning Engineer,280000,US,On Site,US,Medium,9,Machine Learning
288,2024,Senior,Full time,Machine Learning Engineer,230000,US,On Site,US,Medium,7,Machine Learning
289,2024,Mid level,Full time,Research Scientist,260570,US,Full Remote,US,Medium,2,Data Science
290,2024,Mid level,Full time,Research Scientist,167030,US,Full Remote,US,Medium,3,Data Science
291,2024,Mid level,Full time,Data Engineer,185000,US,On Site,US,Large,3,Data Engineering
292,2024,Mid level,Full time,Data Engineer,81000,US,On Site,US,Large,2,Data Engineering
293,2024,Senior,Full time,Data Engineer,198000,US,On Site,US,Medium,6,Data Engineering
294,2024,Senior,Full time,Data Engineer,135000,US,On Site,US,Medium,5,Data Engineering
295,2024,Senior,Full time,Data Scientist,238600,US,On Site,US,Medium,9,Data Science
296,2024,Senior,Full time,Data Scientist,112000,US,On Site,US,Medium,6,Data Science
297,2024,Senior,Full time,Data Scientist,223000,US,On Site,US,Medium,6,Data Science
298,2024,Senior,Full time,Data Scientist,150000,US,On Site,US,Medium,7,Data Science
299,2024,Senior,Full time,Business Intelligence,190000,US,Full Remote,US,Medium,7,Other
300,2024,Senior,Full time,Business Intelligence,157000,US,Full Remote,US,Medium,9,Other
301,2024,Mid level,Full time,Data Engineer,100000,US,Full Remote,US,Medium,2,Data Engineering
302,2024,Mid level,Full time,Data Engineer,85000,US,Full Remote,US,Medium,3,Data Engineering
303,2024,Mid level,Full time,BI Analyst,142300,US,On Site,US,Medium,2,Other
304,2024,Mid level,Full time,BI Analyst,94900,US,On Site,US,Medium,3,Other
305,2024,Senior,Full time,Data Engineer,320850,US,On Site,US,Medium,9,Data Engineering
306,2024,Senior,Full time,Data Engineer,222700,US,On Site,US,Medium,5,Data Engineering
307,2024,Senior,Full time,Data Scientist,180000,US,Full Remote,US,Medium,9,Data Science
308,2024,Senior,Full time,Data Scientist,140000,US,Full Remote,US,Medium,6,Data Science
309,2024,Mid level,Full time,Analytics Engineer,130000,US,On Site,US,Medium,2,Data Engineering
310,2024,Mid level,Full time,Analytics Engineer,100000,US,On Site,US,Medium,3,Data Engineering
311,2024,Senior,Full time,Machine Learning Engineer,538400,US,On Site,US,Medium,8,Machine Learning
312,2024,Senior,Full time,Machine Learning Engineer,254600,US,On Site,US,Medium,9,Machine Learning
313,2024,Mid level,Full time,Data Manager,123000,US,On Site,US,Medium,3,Management
314,2024,Mid level,Full time,Data Manager,95000,US,On Site,US,Medium,2,Management
